Contributer's Twitter,Name,Address,City,State,Postcode,lat,long,Country,Wifi Password,Outlets,Couch,Large Table,Brewing,Outdoor Seating,hexcolor
eschoff,Arcosanti,13555 S Cross L Rd,Arcosanti,AZ,86333,34.34245,-112.100555,USA,open,yes,yes,yes,Cafe,yes,#dc6e2e
eschoff,Gangplank,525 N. Central Ave,Avondale,AZ,85323,33.440913,-112.3493,USA,walktheplank,yes,no,yes,,no,#5bb700
uhduh,Gangplank,260 S Arizona Ave,Chandler,AZ,85225,33.30616,-111.841861,USA,walktheplank,yes,yes,yes,,no,#B9FCFC
w33ble,Sozo Coffeehouse,1982 N. Alma School Rd.,Chandler,AZ,85224,33.333128,-111.860787,USA,open,Yes,Yes,Yes,,yes,#915C11
eschoff,HeatSync Labs,140 W Main St,Mesa,AZ,85201,33.415184,-111.831472,USA,hacktheplanet,yes,no,yes,Lo-Fi Coffee,no,#148a6c
eschoff,THINKspot,635 N Power Rd,Mesa,AZ,85205,33.427528,-111.683657,USA,ask for code,yes,yes,yes,,no,#B9FCFF
eschoff,Cartel Coffee Lab,1 N 1st St,Phoenix,AZ,85004,33.448522,-112.072296,USA,cartelcoffee,yes,no,yes,In-house,no,#00B26E
w33ble,CoHoots,1027 E. Washington St. Suite 107,Phoenix,AZ,85034,33.448041,-112.059178,USA,Free Wifi,Yes,Yes,Yes,,no,#FF8229
brianshaler,Giant Coffee,1437 N 1st St,Phoenix,AZ,85004,33.465362,-112.072324,USA,31313,Yes,no,yes,Four Barrel,no,#915C11
eschoff,JoBot Coffee,918 N 5th St,Phoenix,AZ,85004,33.458342,-112.067714,USA,ask for code,yes,no,no,In-house,yes,#dc6e2e
miql,Lola Coffee,1001 N 3rd Avenue,Phoenix,AZ,85003,33.458791,-112.077715,USA,ask for code,yes,no,no,In-house,no,#148a6c
eschoff,Red Hut Coffee,620 E Roosevelt St #102,Phoenix,AZ,85004,33.458928,-112.065598,USA,ask for code,yes,no,no,In-house,no,#dc6e2e
miql,Songbird Coffee & Tea House,214 E Roosevelt St,Phoenix,AZ,85004,33.458828,-112.070938,USA,ask for code,yes,yes,yes,In-house,no,#5bb700
eschoff,Cartel Coffee Lab,7124 E 5th Ave,Scottsdale,AZ,85251,33.498305,-111.927547,USA,cartelcoffee,yes,no,yes,In-house,no,#148a6c
uhduh,24 Carrots,1701 E Guadalupe Rd,Tempe,AZ,85283,33.363747,-111.947178,USA,bluepombomb,yes,yes,yes,Fresh Juice Bar,no,#B9FCFC
lukekarrys,Cartel Coffee Lab,225 W University Dr,Tempe,AZ,85281,33.363747,-111.942978,USA,cartelcoffee,yes,yes,yes,In-house,no,#B9FCFC
michaelhwan,Seattle Espresso,1840 E Warner Road,Tempe,AZ,85284,33.335769,-111.907306,USA,yes,yes,no,yes,"coffee, tea",yes,#B9FCFC
eschoff,University of Advancing Technology,2625 W Baseline Rd,Tempe,AZ,85283,33.377826,-111.975909,USA,scytale,yes,yes,yes,,yes,#B9FCFF
hij1nx,No Fire No Glory,Rykestraße 45,Berlin,Berlin,,52.536666,13.420456,Germany,n/a,yes,yes,yes,Awesome,yes,#B9FCFC
yangwao,Kafe Nervosa,Zamocka 30,Bratislava,Bratislava,,48.144767,17.101263,SK,1nervosa,yes,yes,yes,Fresh Limonade,yes,#B9FCFC
yangwao,Progressbar,Michalska 3,Bratislava,Bratislava,,48.144272,17.1066,SK,parketbar,yes,yes,yes,Club-mate,yes,#B9FCFC
maxogden,Julie's Coffee and Tea Garden,1223 Park St,Alameda,CA,,37.761642,-122.245399,USA,gingerbrew,yes,yes,yes,Taylor Maid Farms,yes,#B9FCFC
h0ke,A' Cuppa Tea,2992 College Ave,Berkeley,CA,,37.856207,-122.253162,USA,Open,yes,yes,yes,,no,#B9FCFC
kevinflo,Berkeley Espresso,1900 Shattuck Ave,Berkeley,CA,94704,37.873668,-122.268834,USA,Free Wifi,Yes,No,Yes,,Yes,#B9FCFC
allafarce,Caffe Strada,2300 College Avenue,Berkeley,CA,,37.869285,-122.254621,USA,Ned Fl@nders,yes,no,no,,yes,#B9FCFC
maxogden,Local 123,2049 San Pablo Avenue,Berkeley,CA,,37.865639,-122.291084,USA,open!,yes,no,yes,Four Barrel,yes,#B9FCFC
h0ke,Mudrakers Cafe,2801 Telegraph Ave,Berkeley,CA,,37.859435,-122.258847,USA,mudrakers5,yes,yes,yes,,yes,#dc6e2e
ceejbot,Bitter+Sweet,20560 Town Center Ln,Cupertino,CA,,37.31817538,-122.0316549,USA,n/a,yes,no,no,Sightglass,yes,#B9FCFC
jxson,Hub LA,830 Traction Ave,Los Angeles,CA,,34.044734,-118.235239,USA,Check the whiteboards,yes,one,yes,,no,#B9FCFC
hozwe,Tribal Cafe,1651 W Temple St.,Los Angeles,CA,90026,34.068659,-118.262641,USA,coba123,Yes,No,No,"Coffee, Tea, Food, Juices",Yes,#F2C319
